source,text,rating,review_date,reviewer_name,external_id
playstore,Discover Weekly feels the same every week (#1),2,2024-01-01,user_1,ps_sample_1
playstore,Shuffle keeps repeating songs from the same playlist (#2),2,2024-02-02,user_2,ps_sample_2
playstore,Great app but recommendations are too predictable (#3),3,2024-03-03,user_3,ps_sample_3
playstore,Hard to find new artists outside my usual genres (#4),3,2024-04-04,user_4,ps_sample_4
playstore,Suggested songs feature is actually helpful (#5),4,2024-05-05,user_5,ps_sample_5
playstore,Algorithm keeps pushing the same artists (#6),1,2024-06-06,user_6,ps_sample_6
playstore,Love Spotify but discovery features need work (#7),3,2024-07-07,user_7,ps_sample_7
playstore,Radio stations play the same tracks over and over (#8),2,2024-08-08,user_8,ps_sample_8
playstore,Daily Mix never introduces anything new (#9),2,2024-09-09,user_9,ps_sample_9
playstore,Release Radar is the only discovery tool I trust (#10),4,2024-10-10,user_10,ps_sample_10
playstore,Smart Shuffle is confusing and repetitive (#11),2,2024-11-11,user_11,ps_sample_11
playstore,Recommendations ignore my skip history (#12),1,2024-12-12,user_12,ps_sample_12
playstore,Playlist recommendations are always mainstream pop (#13),2,2024-01-13,user_13,ps_sample_13
playstore,Cannot discover indie music easily anymore (#14),3,2024-02-14,user_14,ps_sample_14
playstore,Discover Weekly used to be amazing now it is stale (#15),2,2024-03-15,user_15,ps_sample_15
playstore,Suggested songs saved me from boring commutes (#16),5,2024-04-16,user_16,ps_sample_16
playstore,The algorithm feels stuck in a loop (#17),1,2024-05-17,user_17,ps_sample_17
playstore,Wish there was guided exploration by mood (#18),4,2024-06-18,user_18,ps_sample_18
playstore,Repeat listening to same playlists because discovery fails (#19),2,2024-07-19,user_19,ps_sample_19
playstore,Spotify knows my taste too well and never challenges me (#20),3,2024-08-20,user_20,ps_sample_20
playstore,Discover Weekly feels the same every week (#21),2,2024-09-21,user_21,ps_sample_21
playstore,Shuffle keeps repeating songs from the same playlist (#22),2,2024-10-22,user_22,ps_sample_22
playstore,Great app but recommendations are too predictable (#23),3,2024-11-23,user_23,ps_sample_23
playstore,Hard to find new artists outside my usual genres (#24),3,2024-12-24,user_24,ps_sample_24
playstore,Suggested songs feature is actually helpful (#25),4,2024-01-25,user_25,ps_sample_25
playstore,Algorithm keeps pushing the same artists (#26),1,2024-02-26,user_26,ps_sample_26
playstore,Love Spotify but discovery features need work (#27),3,2024-03-27,user_27,ps_sample_27
playstore,Radio stations play the same tracks over and over (#28),2,2024-04-28,user_28,ps_sample_28
playstore,Daily Mix never introduces anything new (#29),2,2024-05-01,user_29,ps_sample_29
playstore,Release Radar is the only discovery tool I trust (#30),4,2024-06-02,user_30,ps_sample_30
playstore,Smart Shuffle is confusing and repetitive (#31),2,2024-07-03,user_31,ps_sample_31
playstore,Recommendations ignore my skip history (#32),1,2024-08-04,user_32,ps_sample_32
playstore,Playlist recommendations are always mainstream pop (#33),2,2024-09-05,user_33,ps_sample_33
playstore,Cannot discover indie music easily anymore (#34),3,2024-10-06,user_34,ps_sample_34
playstore,Discover Weekly used to be amazing now it is stale (#35),2,2024-11-07,user_35,ps_sample_35
playstore,Suggested songs saved me from boring commutes (#36),5,2024-12-08,user_36,ps_sample_36
playstore,The algorithm feels stuck in a loop (#37),1,2024-01-09,user_37,ps_sample_37
playstore,Wish there was guided exploration by mood (#38),4,2024-02-10,user_38,ps_sample_38
playstore,Repeat listening to same playlists because discovery fails (#39),2,2024-03-11,user_39,ps_sample_39
playstore,Spotify knows my taste too well and never challenges me (#40),3,2024-04-12,user_40,ps_sample_40
playstore,Discover Weekly feels the same every week (#41),2,2024-05-13,user_41,ps_sample_41
playstore,Shuffle keeps repeating songs from the same playlist (#42),2,2024-06-14,user_42,ps_sample_42
playstore,Great app but recommendations are too predictable (#43),3,2024-07-15,user_43,ps_sample_43
playstore,Hard to find new artists outside my usual genres (#44),3,2024-08-16,user_44,ps_sample_44
playstore,Suggested songs feature is actually helpful (#45),4,2024-09-17,user_45,ps_sample_45
playstore,Algorithm keeps pushing the same artists (#46),1,2024-10-18,user_46,ps_sample_46
playstore,Love Spotify but discovery features need work (#47),3,2024-11-19,user_47,ps_sample_47
playstore,Radio stations play the same tracks over and over (#48),2,2024-12-20,user_48,ps_sample_48
playstore,Daily Mix never introduces anything new (#49),2,2024-01-21,user_49,ps_sample_49
playstore,Release Radar is the only discovery tool I trust (#50),4,2024-02-22,user_50,ps_sample_50
playstore,Smart Shuffle is confusing and repetitive (#51),2,2024-03-23,user_51,ps_sample_51
playstore,Recommendations ignore my skip history (#52),1,2024-04-24,user_52,ps_sample_52
playstore,Playlist recommendations are always mainstream pop (#53),2,2024-05-25,user_53,ps_sample_53
playstore,Cannot discover indie music easily anymore (#54),3,2024-06-26,user_54,ps_sample_54
playstore,Discover Weekly used to be amazing now it is stale (#55),2,2024-07-27,user_55,ps_sample_55
